n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
40,41,40,ER,gauss,0,l2,9.663120153,9.663120153,9.663404956,9.664459193,7.55E-09,69.67595229,69.67595229,69.67595229,69.67595229,0,20.94312969,20.94312969,20.94312969,20.94312969,0
41,42,41,ER,gauss,0,l2,9.080580756,9.080580756,9.081614438,9.08506647,4.55E-09,31.88433262,31.88433262,31.88433262,31.8843326,-1.42E-14,20.38857278,20.38857278,20.38857278,20.38857278,0
42,43,42,ER,gauss,0,l2,9.28469761,9.28469761,9.284862334,9.285472892,5.74E-09,26.12037729,26.12037729,26.12037729,26.12037729,0,20.83584785,20.83584785,20.83584785,20.83584785,0
43,44,43,ER,gauss,0,l2,9.964901177,9.964901177,9.971111694,9.984247258,3.52E-09,29.74076016,29.74076016,29.74076016,29.74076022,1.42E-14,23.20233501,23.20233501,23.20233501,23.20233501,0
44,45,44,ER,gauss,0,l2,10.68697153,10.68697153,10.68915129,10.69387956,2.09E-09,28.78001093,28.78001093,28.78001093,28.78001093,0,23.29097186,23.29097186,23.29097186,23.29097186,0
45,46,45,ER,gauss,0,l2,10.64762735,10.64762735,10.65023664,10.65593555,2.28E-09,34.13695718,34.13695718,34.13695718,34.13695718,0,22.8684891,22.8684891,22.8684891,22.8684891,0
46,47,46,ER,gauss,0,l2,10.53207221,10.53207221,10.53224212,10.53286713,5.83E-09,29.37631894,29.37631894,29.37631894,29.37631894,-7.11E-15,24.09054809,24.09054809,24.09054809,24.09054809,0
47,48,47,ER,gauss,0,l2,11.25541881,11.25541881,11.56709611,12.2041459,7.90E-09,55.06799957,55.06799957,55.06799957,55.067999,-7.11E-15,24.33024765,24.33024765,24.33024765,24.33024765,0
48,49,48,ER,gauss,0,l2,11.27204517,11.27204517,11.27241207,11.27372774,8.57E-09,37.31083675,37.31083675,37.31083675,37.31083675,0,24.72230844,24.72230844,24.72230844,24.72230844,0
49,50,49,ER,gauss,0,l2,11.63176166,11.63176166,11.71213415,11.87723145,4.01E-09,36.734617,36.734617,36.734617,36.7346173,7.11E-15,24.73210946,24.73210946,24.73210946,24.73210946,0
50,51,50,ER,gauss,0,l2,11.98116063,11.98116063,11.98330947,11.98796536,2.07E-09,48.228125,48.228125,48.228125,48.22812504,1.42E-14,25.10206606,25.10206606,25.10206606,25.10206606,0
51,52,51,ER,gauss,0,l2,11.40849002,11.40849002,11.41088329,11.4163185,6.92E-09,29.25350658,29.25350658,29.25350658,29.25350655,-4.26E-14,24.25384116,24.25384116,24.25384116,24.25384116,0
52,53,52,ER,gauss,0,l2,11.75988304,11.75988304,11.76015706,11.76116834,7.40E-09,57.70679737,57.70679737,57.70679737,57.70679737,-7.11E-15,26.39446209,26.39446209,26.39446209,26.39446209,0
53,54,53,ER,gauss,0,l2,12.14198596,12.14198596,12.14218553,12.14294806,6.32E-09,38.40503407,38.40503407,38.40503407,38.40503407,0,26.92213421,26.92213421,26.92213421,26.92213421,0
54,55,54,ER,gauss,0,l2,11.82624242,11.82624242,11.82642652,11.82710525,6.07E-09,33.56496969,33.56496969,33.56496969,33.5649697,2.84E-14,26.74762201,26.74762201,26.74762201,26.74762201,0
55,56,55,ER,gauss,0,l2,12.93891551,12.93891551,12.94093258,12.94546601,6.35E-09,51.56072024,51.56072024,51.56072024,51.56072023,-1.42E-14,28.25017716,28.25017716,28.25017716,28.25017716,0
56,57,56,ER,gauss,0,l2,12.87046677,12.87046677,12.87069225,12.8715202,6.72E-09,43.6768022,43.6768022,43.6768022,43.6768022,-1.42E-14,28.63891082,28.63891082,28.63891082,28.63891082,0
57,58,57,ER,gauss,0,l2,12.72032842,12.72032842,12.72234456,12.7267606,2.01E-09,37.9871859,37.9871859,37.9871859,37.9871859,0,28.98309407,28.98309407,28.98309407,28.98309407,0
58,59,58,ER,gauss,0,l2,13.64383004,13.64383004,13.64773448,13.65640015,8.84E-09,36.49120382,36.49120382,36.49120382,36.49120383,1.42E-14,29.01823381,29.01823381,29.01823381,29.01823381,0
59,60,59,ER,gauss,0,l2,14.1604981,14.1604981,14.16088545,14.16208222,2.78E-09,48.22560623,48.22560623,48.22560623,48.22560621,-3.55E-14,30.95042606,30.95042606,30.95042606,30.95042606,0
60,61,60,ER,gauss,0,l2,14.54941583,14.54941583,14.55087908,14.55421261,5.41E-09,41.81739538,41.81739538,41.81739538,41.81739538,0,30.34283288,30.34283288,30.34283288,30.34283288,0
61,62,61,ER,gauss,0,l2,13.26237244,13.26237244,13.26273865,13.26402899,8.56E-09,40.76064857,40.76064857,40.76064857,40.76064857,1.42E-14,29.97851854,29.97851854,29.97851854,29.97851854,0
62,63,62,ER,gauss,0,l2,14.49947614,14.49947614,14.49980354,14.50102525,8.09E-09,61.81732536,61.81732536,61.81732536,61.81732536,0,30.65818225,30.65818225,30.65818225,30.65818225,0
63,64,63,ER,gauss,0,l2,15.11031741,15.11031741,16.04487808,17.93505613,1.37E-08,181.0667262,181.0667262,181.0667262,181.0667379,8.53E-14,32.63132451,32.63132451,32.63132451,32.63132451,0
64,65,64,ER,gauss,0,l2,15.63845459,15.63845459,15.6534565,15.68562147,5.48E-09,64.71867364,64.71867364,64.71867364,64.71867356,-1.42E-14,33.43220328,33.43220328,33.43220328,33.43220328,0
65,66,65,ER,gauss,0,l2,15.54950178,15.54950178,15.5499316,15.55138682,2.93E-09,90.47550122,90.47550122,90.47550122,90.47550122,0,33.34952231,33.34952231,33.34952231,33.34952231,0
66,67,66,ER,gauss,0,l2,15.36611178,15.36611178,15.36648948,15.36780141,8.69E-09,73.03150108,73.03150108,73.03150108,73.03150108,1.42E-14,33.07990513,33.07990513,33.07990513,33.07990513,0
67,68,67,ER,gauss,0,l2,15.44316671,15.44316671,15.44698773,15.4554452,2.76E-09,57.85007269,57.85007269,57.85007269,57.85007278,2.84E-14,33.75354716,33.75354716,33.75354716,33.75354716,0
68,69,68,ER,gauss,0,l2,15.55006095,15.55006095,15.55036375,15.55146508,7.78E-09,65.54083421,65.54083421,65.54083421,65.54083421,1.42E-14,34.09253015,34.09253015,34.09253015,34.09253015,0
69,70,69,ER,gauss,0,l2,16.01204592,16.01204592,16.02010498,16.0373121,4.01E-09,48.74160695,48.74160695,48.74160695,48.74160689,-1.42E-14,33.8836101,33.8836101,33.8836101,33.8836101,0
70,71,70,ER,gauss,0,l2,16.31645208,16.31645208,16.31904585,16.32475415,2.28E-09,66.48982692,66.48982692,66.48982692,66.48982696,1.42E-14,36.59470678,36.59470678,36.59470678,36.59470678,0
71,72,71,ER,gauss,0,l2,16.82409458,16.82409458,16.84480716,16.88832605,6.44E-09,89.42705747,89.42705747,89.42705747,89.42705757,1.42E-14,36.44406735,36.44406735,36.44406735,36.44406735,0
72,73,72,ER,gauss,0,l2,17.14337141,17.14337141,17.157076,17.18632371,5.24E-09,69.14118017,69.14118017,69.14118017,69.14118017,0,36.03849711,36.03849711,36.03849711,36.03849711,0
73,74,73,ER,gauss,0,l2,17.55975015,17.55975015,17.56457689,17.57511698,3.11E-09,74.51467123,74.51467123,74.51467123,74.51467123,0,37.1333915,37.1333915,37.1333915,37.1333915,0
74,75,74,ER,gauss,0,l2,17.92784602,17.92784602,17.92827532,17.9298754,9.27E-09,66.67912623,66.67912623,66.67912623,66.67912623,0,38.65782373,38.65782373,38.65782373,38.65782373,0
75,76,75,ER,gauss,0,l2,18.93679904,18.93679904,19.08743213,19.39770769,5.49E-09,88.51117356,88.51117356,88.51117356,88.51117356,0,38.36318223,38.36318223,38.36318223,38.36318223,0
