n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
58,59,58,ER,uniform,0,l2,4.602000859,4.602000859,4.603303236,4.606217482,5.10E-09,13.6930776,13.6930776,13.6930776,13.6930776,0,9.85851124,9.85851124,9.85851124,9.85851124,0
59,60,59,ER,uniform,0,l2,4.759281037,4.759281037,4.759300325,4.759676989,1.96E-09,23.82782081,23.82782081,23.82782081,23.82782081,0,10.20992475,10.20992475,10.20992475,10.20992475,0
60,61,60,ER,uniform,0,l2,4.935104648,4.935104648,5.375862395,6.260418425,9.39E-09,24.73424969,24.73424969,24.73424969,24.73425102,1.42E-14,10.01377756,10.01377756,10.01377756,10.01377756,0
61,62,61,ER,uniform,0,l2,4.752993784,4.752993784,4.754471281,4.757705964,5.44E-09,23.51808685,23.51808685,23.51808685,23.51808683,-2.84E-14,10.16443004,10.16443004,10.16443004,10.16443004,0
62,63,62,ER,uniform,0,l2,4.982574221,4.982574221,4.987963121,4.999524725,3.28E-09,25.99196142,25.99196142,25.99196142,25.99196142,0,10.43690077,10.43690077,10.43690077,10.43690077,0
63,64,63,ER,uniform,0,l2,5.077666471,5.077666471,5.081852151,5.090697967,2.89E-09,18.69727406,18.69727406,18.69727406,18.69727415,2.84E-14,10.68225739,10.68225739,10.68225739,10.68225739,0
64,65,64,ER,uniform,0,l2,5.156439717,5.156439717,5.156812127,5.157655362,2.73E-09,23.70466062,23.70466062,23.70466062,23.70466062,0,10.90121674,10.90121674,10.90121674,10.90121674,0
65,66,65,ER,uniform,0,l2,5.187107576,5.187107576,5.193809402,5.208324944,3.66E-09,22.16900208,22.16900208,22.16900208,22.16900197,-2.84E-14,10.66524934,10.66524934,10.66524934,10.66524934,0
66,67,66,ER,uniform,0,l2,5.74062834,5.74062834,5.745963374,5.757789662,3.27E-09,29.73840729,29.73840729,29.73840729,29.73840729,0,11.10629838,11.10629838,11.10629838,11.10629838,0
67,68,67,ER,uniform,0,l2,5.523042566,5.523042566,5.523121897,5.523416008,3.98E-09,16.1279042,16.1279042,16.1279042,16.1279042,0,11.4271355,11.4271355,11.4271355,11.4271355,0
68,69,68,ER,uniform,0,l2,5.404632665,5.404632665,5.405355866,5.406947319,1.20E-09,19.35093118,19.35093118,19.35093118,19.35093118,0,11.29995637,11.29995637,11.29995637,11.29995637,0
69,70,69,ER,uniform,0,l2,5.419117372,5.419117372,5.421075575,5.425453754,6.26E-09,25.39239155,25.39239155,25.39239155,25.39239154,-1.42E-14,11.39058215,11.39058215,11.39058215,11.39058215,0
70,71,70,ER,uniform,0,l2,5.635664056,5.635664056,5.645978368,5.667667817,4.54E-09,23.21276018,23.21276018,23.21276018,23.21276018,0,11.89134897,11.89134897,11.89134897,11.89134897,0
71,72,71,ER,uniform,0,l2,5.611207079,5.611207079,5.61319595,5.617616935,6.31E-09,24.31316152,24.31316152,24.31316152,24.31316152,0,11.95952116,11.95952116,11.95952116,11.95952116,0
72,73,72,ER,uniform,0,l2,5.69185422,5.69185422,5.693505472,5.697112444,5.75E-09,24.60706746,24.60706746,24.60706746,24.60706743,-5.68E-14,12.09794502,12.09794502,12.09794502,12.09794502,0
73,74,73,ER,uniform,0,l2,5.910370033,5.910370033,5.91113707,5.912868298,3.92E-09,31.32970333,31.32970333,31.32970333,31.32970336,5.68E-14,12.42286992,12.42286992,12.42286992,12.42286992,0
74,75,74,ER,uniform,0,l2,5.720879724,5.720879724,5.721799137,5.723921,4.29E-09,22.41993003,22.41993003,22.41993003,22.41993003,0,12.33644795,12.33644795,12.33644795,12.33644795,0
75,76,75,ER,uniform,0,l2,6.297857822,6.297857822,6.301438547,6.309055328,2.68E-09,42.19743859,42.19743859,42.19743859,42.19743859,0,12.58781028,12.58781028,12.58781028,12.58781028,0
76,77,76,ER,uniform,0,l2,6.252110627,6.252110627,6.252300237,6.252763811,1.95E-09,28.53424271,28.53424271,28.53424271,28.5342427,-2.84E-14,13.09167203,13.09167203,13.09167203,13.09167203,0
77,78,77,ER,uniform,0,l2,6.242155064,6.242155064,6.245385525,6.252264417,8.04E-09,31.16795668,31.16795668,31.16795668,31.16795668,0,12.96061856,12.96061856,12.96061856,12.96061856,0
78,79,78,ER,uniform,0,l2,6.31051141,6.31051141,6.31059618,6.31091053,4.12E-09,23.6848969,23.6848969,23.6848969,23.6848969,0,13.0779379,13.0779379,13.0779379,13.0779379,0
79,80,79,ER,uniform,0,l2,6.285833891,6.285833891,6.290838768,6.301492177,3.16E-09,41.55319435,41.55319435,41.55319435,41.5531943,-1.42E-14,13.2550321,13.2550321,13.2550321,13.2550321,0
80,81,80,ER,uniform,0,l2,6.297443218,6.297443218,6.297683647,6.298448828,2.19E-09,26.75536592,26.75536592,26.75536592,26.75536592,0,13.64329897,13.64329897,13.64329897,13.64329897,0
81,82,81,ER,uniform,0,l2,6.642385693,6.642385693,6.647309284,6.658041792,9.92E-09,44.16660537,44.16660537,44.16660537,44.16660537,0,13.54245695,13.54245695,13.54245695,13.54245695,0
82,83,82,ER,uniform,0,l2,6.519195595,6.519195595,6.520254744,6.522701082,4.60E-09,72.5365952,72.5365952,72.5365952,72.53659523,5.68E-14,13.78130353,13.78130353,13.78130353,13.78130353,0
83,84,83,ER,uniform,0,l2,6.690775279,6.690775279,6.690852328,6.691069507,1.24E-09,38.61980402,38.61980402,38.61980402,38.61980402,0,13.85079088,13.85079088,13.85079088,13.85079088,0
84,85,84,ER,uniform,0,l2,6.587991731,6.587991731,6.590682091,6.596436797,2.32E-09,64.1629483,64.1629483,64.1629483,64.16294834,1.42E-14,14.17652625,14.17652625,14.17652625,14.17652625,0
85,86,85,ER,uniform,0,l2,6.881086011,6.881086011,6.891732451,6.914148891,4.61E-09,30.10372173,30.10372173,30.10372173,30.10372173,0,14.22251148,14.22251148,14.22251148,14.22251148,0
86,87,86,ER,uniform,0,l2,6.866947711,6.866947711,6.868711644,6.872642775,5.94E-09,30.19100543,30.19100543,30.19100543,30.19100542,-1.42E-14,14.30078316,14.30078316,14.30078316,14.30078316,0
87,88,87,ER,uniform,0,l2,7.031288897,7.031288897,7.031870925,7.033203151,3.41E-09,66.89002897,66.89002897,66.89002897,66.89002897,-1.42E-14,14.65990436,14.65990436,14.65990436,14.65990436,0
88,89,88,ER,uniform,0,l2,7.196644124,7.196644124,7.200600921,7.209334657,8.90E-09,30.57625679,30.57625679,30.57625679,30.57625679,0,14.76930921,14.76930921,14.76930921,14.76930921,0
89,90,89,ER,uniform,0,l2,7.06611153,7.06611153,7.066584204,7.067731847,9.72E-09,24.12894816,24.12894816,24.12894816,24.12894816,0,15.06303428,15.06303428,15.06303428,15.06303428,0
90,91,90,ER,uniform,0,l2,7.303842475,7.303842475,7.305985355,7.310743463,6.55E-09,34.7374987,34.7374987,34.7374987,34.73749871,1.42E-14,15.33718565,15.33718565,15.33718565,15.33718565,0
91,92,91,ER,uniform,0,l2,7.299573445,7.299573445,7.301203392,7.304753909,1.81E-09,42.56001661,42.56001661,42.56001661,42.56001661,0,15.46532231,15.46532231,15.46532231,15.46532231,0
92,93,92,ER,uniform,0,l2,7.671563803,7.671563803,7.680621032,7.699666487,4.26E-09,37.12005089,37.12005089,37.12005089,37.12005089,0,15.67759856,15.67759856,15.67759856,15.67759856,0
93,94,93,ER,uniform,0,l2,7.386039132,7.386039132,7.387663795,7.391390742,5.70E-09,48.99728092,48.99728092,48.99728092,48.99728094,2.84E-14,15.64895972,15.64895972,15.64895972,15.64895972,0
94,95,94,ER,uniform,0,l2,7.541258852,7.541258852,7.543020667,7.546854593,5.94E-09,39.37942625,39.37942625,39.37942625,39.37942626,1.42E-14,15.78967158,15.78967158,15.78967158,15.78967158,0
95,96,95,ER,uniform,0,l2,7.71233669,7.71233669,7.712893608,7.71420343,3.34E-09,44.79153784,44.79153784,44.79153784,44.79153784,0,15.75894591,15.75894591,15.75894591,15.75894591,0
96,97,96,ER,uniform,0,l2,8.634525668,8.634525668,9.460480847,11.31414095,1.29E-08,46.0953476,46.0953476,46.0953476,46.0953476,0,16.13355339,16.13355339,16.13355339,16.13355339,0
97,98,97,ER,uniform,0,l2,7.857317627,7.857317627,7.867279114,7.888595733,4.46E-09,33.45559317,33.45559317,33.45559317,33.45559323,1.42E-14,16.35226596,16.35226596,16.35226596,16.35226596,0
98,99,98,ER,uniform,0,l2,8.089885656,8.089885656,8.273744357,8.650190879,6.06E-09,104.7286087,104.7286087,104.7286087,104.7286078,-1.42E-14,16.69157625,16.69157625,16.69157625,16.69157625,0
99,100,99,ER,uniform,0,l2,8.092967752,8.092967752,8.094531847,8.098003767,1.77E-09,120.0094147,120.0094147,120.0094147,120.0094147,1.42E-14,16.74279033,16.74279033,16.74279033,16.74279033,0
