n,d,s0,graph_type,sem_type,lambda1,loss_type,loss_est,loss_l1,obj_aug,obj_dual,h,loss_est_2,loss_l1_2,obj_aug_,obj_dual_2,h_2,loss_est_t,loss_l1_t,obj_aug_t,obj_dual_t,h_t
53,54,53,ER,gumbel,0,l2,20.26254925,20.26254925,20.32918799,20.46665814,3.65E-09,92.05144187,92.05144187,92.05144187,92.05144187,0,52.31204499,52.31204499,52.31204499,52.31204499,0
54,55,54,ER,gumbel,0,l2,21.51854786,21.51854786,21.51890376,21.52021042,2.67E-09,89.11401014,89.11401014,89.11401014,89.11401013,-1.42E-14,55.5448185,55.5448185,55.5448185,55.5448185,0
55,56,55,ER,gumbel,0,l2,20.92638904,20.92638904,20.93319719,20.94794357,3.69E-09,76.38582548,76.38582548,76.38582548,76.38582548,0,55.54694619,55.54694619,55.54694619,55.54694619,0
56,57,56,ER,gumbel,0,l2,22.63562094,22.63562094,22.6364413,22.63845805,4.05E-09,79.78432129,79.78432129,79.78432129,79.7843213,7.11E-15,57.93550562,57.93550562,57.93550562,57.93550562,0
57,58,57,ER,gumbel,0,l2,21.83409487,21.83409487,21.89226134,22.01330067,3.41E-09,86.15054399,86.15054399,86.15054399,86.1505445,1.42E-14,52.35060148,52.35060148,52.35060148,52.35060148,0
58,59,58,ER,gumbel,0,l2,21.19632519,21.19632519,21.19881245,21.20438275,2.23E-09,94.70937076,94.70937076,94.70937076,94.70937071,-2.13E-14,56.76052375,56.76052375,56.76052375,56.76052375,0
59,60,59,ER,gumbel,0,l2,26.3542152,26.3542152,26.35626212,26.36129566,6.40E-09,121.2212845,121.2212845,121.2212845,121.2212845,0,64.14743616,64.14743616,64.14743616,64.14743616,0
60,61,60,ER,gumbel,0,l2,22.44641928,22.44641928,22.44734741,22.4496845,4.31E-09,143.9951256,143.9951256,143.9951256,143.9951256,1.42E-14,59.27079285,59.27079285,59.27079285,59.27079285,0
61,62,61,ER,gumbel,0,l2,23.37241011,23.37241011,23.3729085,23.37472219,3.16E-09,100.3563921,100.3563921,100.3563921,100.3563921,0,60.86152067,60.86152067,60.86152067,60.86152067,0
62,63,62,ER,gumbel,0,l2,25.38450784,25.38450784,25.38609182,25.39118652,5.63E-09,285.4671561,285.4671561,285.4671561,285.4671562,3.55E-14,62.48480655,62.48480655,62.48480655,62.48480655,0
63,64,63,ER,gumbel,0,l2,24.30833642,24.30833642,24.37426192,24.50699089,3.63E-09,81.8158563,81.8158563,81.8158563,81.8158563,0,61.03343176,61.03343176,61.03343176,61.03343176,0
64,65,64,ER,gumbel,0,l2,26.70169432,26.70169432,26.70350681,26.70785949,6.02E-09,122.4561546,122.4561546,122.4561546,122.4561546,0,66.24874099,66.24874099,66.24874099,66.24874099,0
65,66,65,ER,gumbel,0,l2,26.27099839,26.27099839,26.27461883,26.283147,8.51E-09,131.8598989,131.8598989,131.8598989,131.8598989,-1.42E-14,63.32156947,63.32156947,63.32156947,63.32156947,0
66,67,66,ER,gumbel,0,l2,26.69482513,26.69482513,26.72757389,26.79758974,8.09E-09,252.9134871,252.9134871,252.9134871,252.9134871,0,64.34716223,64.34716223,64.34716223,64.34716223,0
67,68,67,ER,gumbel,0,l2,27.25666994,27.25666994,27.26054477,27.26918782,2.78E-09,116.0402256,116.0402256,116.0402256,116.0402256,-1.42E-14,67.78485661,67.78485661,67.78485661,67.78485661,0
68,69,68,ER,gumbel,0,l2,26.93685171,26.93685171,26.98313535,27.0812744,9.62E-09,74.5748454,74.5748454,74.5748454,74.5748454,0,68.33646544,68.33646544,68.33646544,68.33646544,0
69,70,69,ER,gumbel,0,l2,26.72387418,26.72387418,26.96445349,27.45446614,6.94E-09,115.8984801,115.8984801,115.8984801,115.8984771,-4.26E-14,67.96917428,67.96917428,67.96917428,67.96917428,0
70,71,70,ER,gumbel,0,l2,27.28779742,27.28779742,28.0726802,29.80760624,1.25E-08,117.5378409,117.5378409,117.5378409,117.5378409,0,69.11356288,69.11356288,69.11356288,69.11356288,0
71,72,71,ER,gumbel,0,l2,26.93853733,26.93853733,26.96182709,27.01118186,6.82E-09,142.5582228,142.5582228,142.5582228,142.5582227,-1.42E-14,69.81905721,69.81905721,69.81905721,69.81905721,0
72,73,72,ER,gumbel,0,l2,28.6597009,28.6597009,28.91081536,29.42577703,7.09E-09,141.9755774,141.9755774,141.9755774,141.9755785,1.42E-14,74.6870081,74.6870081,74.6870081,74.6870081,0
73,74,73,ER,gumbel,0,l2,28.66491658,28.66491658,28.66525394,28.66654583,2.60E-09,148.365556,148.365556,148.365556,148.365556,0,75.28640356,75.28640356,75.28640356,75.28640356,0
74,75,74,ER,gumbel,0,l2,27.64012148,27.64012148,27.64201925,27.64821971,6.16E-09,155.7943178,155.7943178,155.7943178,155.7943178,0,72.37910111,72.37910111,72.37910111,72.37910111,0
75,76,75,ER,gumbel,0,l2,28.93279117,28.93279117,28.94081273,28.95829012,4.01E-09,142.0545495,142.0545495,142.0545495,142.0545495,0,74.19846562,74.19846562,74.19846562,74.19846562,0
